idCiudad,nombre,pais
Ci001,Cali,Colombia
Ci002,Bogotá,Colombia
Ci003,Medellín,Colombia
Ci004,Barranquilla,Colombia
Ci005,Cartagena,Colombia
Ci006,Bucaramanga,Colombia
Ci007,Pereira,Colombia
Ci008,Manizales,Colombia
Ci009,Armenia,Colombia
Ci010,Santa Marta,Colombia
Ci011,Cúcuta,Colombia
Ci012,Ibagué,Colombia
Ci013,Montería,Colombia
Ci014,Neiva,Colombia
Ci015,Popayán,Colombia
Ci016,Tunja,Colombia
Ci017,Sincelejo,Colombia
Ci018,Florencia,Colombia
Ci019,Valledupar,Colombia
Ci020,Quibdó,Colombia
